Fund Name,Target Name,FundID,Permno,NCUSIP,Gvkey,Date13D,DateCross5pct
FIRST EAGLE INVESTMENT MANAGEMENT LLC,CHORDIANT SOFTWARE INC,409,87649,17040430,130040,20100414,20100408
FIRST EAGLE INVESTMENT MANAGEMENT LLC,PLATO LEARNING INC,409,78209,72764Y10,26044,20100409,20100407
FIRST EAGLE INVESTMENT MANAGEMENT LLC,NORTH AMERICAN GALVANIZING & COATINGS INC,409,21056,65686Y10,6437,20100429,20100426
FIRST EAGLE INVESTMENT MANAGEMENT LLC,"DOUBLE-TAKE SOFTWARE, INC.",409,51550,25859810,175835,20100629,20100625
FIRST EAGLE INVESTMENT MANAGEMENT LLC,ARADIGM CORP,409,83622,38505301,063081,20121218,20121211
FIRST EAGLE INVESTMENT MANAGEMENT LLC,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",409,24046,18451C109,164660,-99,-99
FIRST EAGLE INVESTMENT MANAGEMENT LLC,EMMIS COMMUNICATIONS CORPORATION,409,80297,291525103,15337,20071115,20071105
FIRST EAGLE INVESTMENT MANAGEMENT LLC,"STEWART & STEVENSON SERVICES, INC.",409,72961,860342104,10085,-99,-99
ASSET MANAGERS INTERNATIONAL LTD,RENTECH INC /CO/,410,76978,76011210,23898,20071212,20071205
ATLAS CAPITAL MANAGEMENT LP,PENN TREATY AMERICAN CORP,411,11713,70787410,16986,20090710,20090709
ATTIVA CAPITAL PARTNERS LTD,SPANISH BROADCASTING SYSTEM INC,413,87342,84642588,117145,20090305,20090304
ATTIVA CAPITAL PARTNERS LTD,NEOMAGIC CORP,413,84625,64049710,64485,20090729,20090720
ATTIVA CAPITAL PARTNERS LTD,COSI INC,413,89567,22122P200,148249,20140311,20140311
ATTIVA CAPITAL PARTNERS LTD,DORAL FINANCIAL CORP,413,12169,25811P852,015261,20140501,20140501
ATTIVA CAPITAL PARTNERS LTD,"WORLDGATE COMMUNICATIONS, INC.",413,86850,98156L307,119736,20060807,20060728
BAKER STREET CAPITAL MANAGEMENT LLC,UNILENS VISION INC,414,77571,90490720,17196,20100329,20100120
BAKER STREET CAPITAL MANAGEMENT LLC,HOLLYWOOD MEDIA CORP,414,79802,43623310,29165,20100930,20100726
BAKER STREET CAPITAL MANAGEMENT LLC,NEW FRONTIER MEDIA INC,414,85838,64439810,62088,20101221,20101213
BAKER STREET CAPITAL MANAGEMENT LLC,AMERICAN INTERNATIONAL INDUSTRIES INC,414,92212,02686Y20,66149,20110516,20110506
BAKER STREET CAPITAL MANAGEMENT LLC,INTERGROUP CORP,414,55678,45868510,7632,20110801,20110721
BAKER STREET CAPITAL MANAGEMENT LLC,XYRATEX LTD,414,90242,G98268108,160629,20121025,20121016
BAKER STREET CAPITAL MANAGEMENT LLC,USA TRUCK INC,414,77425,902925106,025069,20131107,20131028
BAKER STREET CAPITAL MANAGEMENT LLC,SWIFT ENERGY CO,414,66739,870738101,010221,20141016,20141006
BAKER STREET CAPITAL MANAGEMENT LLC,"AUTOINFO, INC.",414,10281,05277710,12210,20111110,20111031
BAKER STREET CAPITAL MANAGEMENT LLC,TIX CORPORATION,414,80940,88873310,30701,20101112,20101101
